v-sweep,i(vmeas)
0.396,-0.000000949906619
0.397,-0.000000949906646
0.398,-0.000000949906582
0.399,-0.000000949906578
0.4,-0.000000949906608
0.401,-0.000000949906582
0.402,-0.000000949906545
0.403,-0.000000949906585
0.404,-0.00000094990658
0.405,-0.000000949906577
0.406,-0.00000094990661
0.407,-0.000000949906596
0.408,-0.000000949906571
0.409,-0.000000949906577
0.41,-0.000000949906568
0.411,-0.000000949906575
0.412,-0.000000949906507
0.413,-0.000000949906552
0.414,-0.00000094990655
0.415,-0.000000949906475
0.416,-0.000000949906493
0.417,-0.000000949906532
0.418,-0.000000949906562
0.419,-0.000000949906578
0.42,-0.000000949906495
0.421,-0.000000949906552
0.422,-0.000000949906479
0.423,-0.000000949906564
0.424,-0.000000949906468
0.425,-0.00000094990645
0.426,-0.0000009499065
0.427,-0.000000949906493
0.428,-0.000000949906438
0.429,-0.00000094990645
0.43,-0.0000009499065
0.431,-0.000000949906434
0.432,-0.000000949906497
0.433,-0.000000949906465
0.434,-0.000000949906457
0.435,-0.000000949906401
0.436,-0.000000949906397
0.437,-0.000000949906415
0.438,-0.000000949906397
0.439,-0.000000949906394
0.44,-0.000000949906415
0.441,-0.000000949906354
0.442,-0.000000949906239
0.443,-0.000000949906266
0.444,-0.000000949906065
0.445,-0.000000949906157
0.446,-0.000000949906102
0.447,-0.000000949906063
0.448,-0.000000949906049
0.449,-0.000000949906052
0.45,-0.000000949906042
0.451,-0.000000949906052
0.452,-0.000000949906022
0.453,-0.000000949905978
0.454,-0.000000949905969
0.455,-0.000000949905894
0.456,-0.000000949905898
0.457,-0.000000949905822
0.458,-0.000000949905845
0.459,-0.000000949905838
0.46,-0.000000949905749
0.461,-0.00000094990577
0.462,-0.000000949905713
0.463,-0.000000949905743
0.464,-0.00000094990572
0.465,-0.000000949905713
0.466,-0.000000949905701
0.467,-0.000000949905637
0.468,-0.000000949905644
0.469,-0.00000094990561
0.47,-0.000000949905585
0.471,-0.000000949905553
0.472,-0.000000949905553
0.473,-0.000000949905584
0.474,-0.000000949905514
0.475,-0.000000949905468
0.476,-0.000000949905466
0.477,-0.000000949905388
0.478,-0.000000949905409
0.479,-0.000000949905353
0.48,-0.000000949905337
0.481,-0.000000949905337
0.482,-0.000000949905269
0.483,-0.000000949905305
0.484,-0.000000949905186
0.485,-0.00000094990526
0.486,-0.000000949905161
0.487,-0.000000949905127
0.488,-0.000000949904889
0.489,-0.000000949904845
0.49,-0.000000949904853
0.491,-0.000000949904866
0.492,-0.000000949904697
0.493,-0.000000949904718
0.494,-0.000000949904617
0.495,-0.000000949904505
0.496,-0.000000949904392
0.497,-0.000000949904372
0.498,-0.00000094990434
0.499,-0.000000949904182
0.5,-0.000000949904157
0.501,-0.000000949904086
0.502,-0.000000949904122
0.503,-0.000000949903971
0.504,-0.000000949903988
0.505,-0.000000949903958
0.506,-0.000000949903914
0.507,-0.000000949903683
0.508,-0.000000949903617
0.509,-0.000000949903518
0.51,-0.000000949903487
0.511,-0.000000949903335
0.512,-0.000000949903256
0.513,-0.000000949903109
0.514,-0.000000949902974
0.515,-0.000000949902907
0.516,-0.000000949902834
0.517,-0.000000949902715
0.518,-0.000000949902622
0.519,-0.000000949902544
0.52,-0.000000949902358
0.521,-0.000000949902301
0.522,-0.000000949902168
0.523,-0.000000949902024
0.524,-0.000000949901974
0.525,-0.000000949901793
0.526,-0.000000949901512
0.527,-0.000000949901473
0.528,-0.00000094990132
0.529,-0.00000094990105
0.53,-0.000000949900933
0.531,-0.000000949900846
0.532,-0.000000949900741
0.533,-0.000000949900574
0.534,-0.000000949900461
0.535,-0.000000949900244
0.536,-0.000000949899952
0.537,-0.000000949899697
0.538,-0.000000949899572
0.539,-0.000000949899361
0.54,-0.00000094989927
0.541,-0.000000949899011
0.542,-0.000000949898677
0.543,-0.000000949898364
0.544,-0.000000949898196
0.545,-0.000000949898023
0.546,-0.000000949897894
0.547,-0.000000949897638
0.548,-0.000000949897313
0.549,-0.000000949896956
0.55,-0.000000949896734
0.551,-0.000000949896473
0.552,-0.000000949896217
0.553,-0.000000949895949
0.554,-0.000000949895554
0.555,-0.000000949895258
0.556,-0.000000949894897
0.557,-0.000000949894677
0.558,-0.000000949894359
0.559,-0.000000949893927
0.56,-0.000000949893451
0.561,-0.00000094989316
0.562,-0.000000949892886
0.563,-0.000000949892284
0.564,-0.000000949892048
0.565,-0.000000949891598
0.566,-0.000000949891028
0.567,-0.000000949890696
0.568,-0.00000094989036
0.569,-0.000000949889754
0.57,-0.000000949889269
0.571,-0.00000094988888
0.572,-0.000000949888275
0.573,-0.000000949887763
0.574,-0.000000949887259
0.575,-0.000000949886688
0.576,-0.000000949886047
0.577,-0.000000949885628
0.578,-0.000000949884818
0.579,-0.000000949884347
0.58,-0.000000949883566
0.581,-0.000000949883102
0.582,-0.000000949882438
0.583,-0.000000949881722
0.584,-0.000000949881036
0.585,-0.000000949880262
0.586,-0.000000949879546
0.587,-0.000000949878675
0.588,-0.000000949878011
0.589,-0.000000949877114
0.59,-0.000000949876137
0.591,-0.000000949875476
0.592,-0.000000949874423
0.593,-0.000000949873622
0.594,-0.000000949872787
0.595,-0.000000949871676
0.596,-0.000000949870802
0.597,-0.000000949869717
0.598,-0.000000949868564
0.599,-0.000000949867566
0.6,-0.000000949866466
0.601,-0.000000949865363
0.602,-0.000000949864162
0.603,-0.000000949862994
0.604,-0.000000949861819
0.605,-0.000000949860524
0.606,-0.000000949859194
0.607,-0.000000949857702
0.608,-0.00000094985627
0.609,-0.00000094985494
0.61,-0.000000949853456
0.611,-0.000000949851955
0.612,-0.000000949850479
0.613,-0.000000949848717
0.614,-0.000000949847147
0.615,-0.000000949845605
0.616,-0.000000949843754
0.617,-0.000000949842111
0.618,-0.00000094984005
0.619,-0.000000949838293
0.62,-0.000000949836322
0.621,-0.000000949834231
0.622,-0.000000949832213
0.623,-0.000000949830167
0.624,-0.000000949827868
0.625,-0.000000949825834
0.626,-0.000000949823448
0.627,-0.000000949821185
0.628,-0.000000949818736
0.629,-0.000000949816137
0.63,-0.0000009498136
0.631,-0.000000949811051
0.632,-0.000000949808314
0.633,-0.000000949805431
0.634,-0.000000949802549
0.635,-0.000000949799695
0.636,-0.000000949796572
0.637,-0.000000949793467
0.638,-0.000000949790312
0.639,-0.00000094978696
0.64,-0.000000949783619
0.641,-0.00000094978008
0.642,-0.000000949776522
0.643,-0.000000949772765
0.644,-0.000000949769086
0.645,-0.000000949765145
0.646,-0.000000949761159
0.647,-0.000000949756979
0.648,-0.000000949752845
0.649,-0.000000949748546
0.65,-0.000000949743923
0.651,-0.00000094973937
0.652,-0.000000949734552
0.653,-0.000000949729568
0.654,-0.000000949724619
0.655,-0.000000949719567
0.656,-0.000000949714206
0.657,-0.000000949708818
0.658,-0.000000949703258
0.659,-0.000000949697503
0.66,-0.000000949691611
0.661,-0.000000949685424
0.662,-0.000000949679229
0.663,-0.000000949672661
0.664,-0.000000949666074
0.665,-0.000000949659199
0.666,-0.000000949652231
0.667,-0.000000949645191
0.668,-0.000000949637723
0.669,-0.000000949630152
0.67,-0.000000949622191
0.671,-0.00000094961411
0.672,-0.000000949605905
0.673,-0.000000949597309
0.674,-0.000000949588602
0.675,-0.000000949579571
0.676,-0.000000949570474
0.677,-0.000000949560926
0.678,-0.000000949551046
0.679,-0.000000949540915
0.68,-0.000000949530612
0.681,-0.000000949519935
0.682,-0.000000949509209
0.683,-0.000000949497824
0.684,-0.00000094948626
0.685,-0.000000949474515
0.686,-0.000000949462166
0.687,-0.000000949449582
0.688,-0.000000949436625
0.689,-0.000000949423377
0.69,-0.000000949409653
0.691,-0.000000949395659
0.692,-0.000000949381075
0.693,-0.000000949366379
0.694,-0.000000949351028
0.695,-0.000000949335451
0.696,-0.000000949319357
0.697,-0.000000949302784
0.698,-0.000000949285504
0.699,-0.000000949268156
0.7,-0.000000949249989
0.701,-0.000000949231479
0.702,-0.000000949212225
0.703,-0.000000949192742
0.704,-0.000000949172687
0.705,-0.000000949151893
0.706,-0.00000094913069
0.707,-0.000000949108705
0.708,-0.000000949086257
0.709,-0.000000949063082
0.71,-0.000000949039244
0.711,-0.000000949014748
0.712,-0.000000948989435
0.713,-0.000000948963629
0.714,-0.000000948937076
0.715,-0.000000948909744
0.716,-0.000000948881457
0.717,-0.000000948852644
0.718,-0.000000948823025
0.719,-0.000000948792255
0.72,-0.00000094876083
0.721,-0.00000094872858
0.722,-0.000000948695398
0.723,-0.000000948661356
0.724,-0.000000948626154
0.725,-0.000000948590042
0.726,-0.000000948552882
0.727,-0.000000948514799
0.728,-0.000000948475655
0.729,-0.000000948435405
0.73,-0.000000948393936
0.731,-0.000000948351252
0.732,-0.000000948307457
0.733,-0.000000948262434
0.734,-0.000000948216154
0.735,-0.000000948168649
0.736,-0.000000948119874
0.737,-0.000000948069546
0.738,-0.000000948017723
0.739,-0.000000947964581
0.74,-0.000000947909935
0.741,-0.000000947853811
0.742,-0.000000947796085
0.743,-0.00000094773668
0.744,-0.000000947675915
0.745,-0.000000947613165
0.746,-0.000000947548692
0.747,-0.000000947482381
0.748,-0.000000947414392
0.749,-0.000000947344393
0.75,-0.000000947272413
0.751,-0.000000947198391
0.752,-0.000000947122423
0.753,-0.000000947044258
0.754,-0.000000946963937
0.755,-0.000000946881295
0.756,-0.00000094679659
0.757,-0.00000094670934
0.758,-0.000000946619679
0.759,-0.000000946527607
0.76,-0.000000946432857
0.761,-0.000000946335522
0.762,-0.000000946235543
0.763,-0.000000946132579
0.764,-0.000000946027022
0.765,-0.000000945918339
0.766,-0.000000945806702
0.767,-0.000000945692033
0.768,-0.000000945574165
0.769,-0.000000945453014
0.77,-0.000000945328495
0.771,-0.000000945200568
0.772,-0.000000945069019
0.773,-0.000000944933776
0.774,-0.000000944795008
0.775,-0.000000944652149
0.776,-0.000000944505405
0.777,-0.000000944354802
0.778,-0.0000009441999
0.779,-0.000000944040764
0.78,-0.000000943877115
0.781,-0.000000943709068
0.782,-0.000000943536421
0.783,-0.000000943358991
0.784,-0.000000943176586
0.785,-0.00000094298921
0.786,-0.000000942796623
0.787,-0.000000942598922
0.788,-0.000000942395543
0.789,-0.000000942186766
0.79,-0.000000941972115
0.791,-0.000000941751891
0.792,-0.000000941525123
0.793,-0.000000941292608
0.794,-0.000000941053571
0.795,-0.00000094080808
0.796,-0.000000940555736
0.797,-0.000000940296459
0.798,-0.000000940030189
0.799,-0.000000939756571
0.8,-0.000000939475509
0.801,-0.000000939187052
0.802,-0.000000938890533
0.803,-0.000000938585961
0.804,-0.000000938273203
0.805,-0.000000937951853
0.806,-0.000000937621778
0.807,-0.000000937282618
0.808,-0.000000936934425
0.809,-0.000000936576825
0.81,-0.000000936209466
0.811,-0.000000935832391
0.812,-0.000000935444998
0.813,-0.000000935047275
0.814,-0.000000934638493
0.815,-0.000000934218994
0.816,-0.000000933788083
0.817,-0.0000009333455
0.818,-0.000000932891371
0.819,-0.000000932424779
0.82,-0.000000931945863
0.821,-0.00000093145402
0.822,-0.000000930949065
0.823,-0.000000930430657
0.824,-0.000000929898466
0.825,-0.000000929351964
0.826,-0.000000928790968
0.827,-0.000000928215226
0.828,-0.000000927623876
0.829,-0.000000927017037
0.83,-0.000000926394273
0.831,-0.000000925754902
0.832,-0.000000925098638
0.833,-0.000000924424979
0.834,-0.00000092373357
0.835,-0.000000923024217
0.836,-0.000000922296222
0.837,-0.000000921548956
0.838,-0.000000920782169
0.839,-0.000000919995303
0.84,-0.000000919187965
0.841,-0.000000918359889
0.842,-0.000000917509734
0.843,-0.000000916637637
0.844,-0.000000915743239
0.845,-0.000000914825383
0.846,-0.000000913883936
0.847,-0.000000912918011
0.848,-0.000000911927629
0.849,-0.000000910911488
0.85,-0.000000909869287
0.851,-0.00000090880051
0.852,-0.000000907704544
0.853,-0.000000906580322
0.854,-0.000000905427806
0.855,-0.000000904245942
0.856,-0.000000903034051
0.857,-0.000000901791429
0.858,-0.000000900517808
0.859,-0.000000899211932
0.86,-0.000000897873299
0.861,-0.000000896501204
0.862,-0.000000895094542
0.863,-0.000000893653112
0.864,-0.00000089217593
0.865,-0.000000890661841
0.866,-0.000000889110717
0.867,-0.000000887520955
0.868,-0.000000885892167
0.869,-0.000000884223699
0.87,-0.000000882514124
0.871,-0.000000880763046
0.872,-0.000000878969418
0.873,-0.000000877132232
0.874,-0.000000875250763
0.875,-0.000000873324124
0.876,-0.000000871351125
0.877,-0.000000869330691
0.878,-0.000000867262276
0.879,-0.000000865144781
0.88,-0.000000862977249
0.881,-0.000000860758318
0.882,-0.000000858487319
0.883,-0.000000856163282
0.884,-0.000000853784913
0.885,-0.000000851351473
0.886,-0.000000848861688
0.887,-0.00000084631437
0.888,-0.000000843708804
0.889,-0.000000841043507
0.89,-0.000000838317597
0.891,-0.000000835530004
0.892,-0.00000083267971
0.893,-0.000000829765234
0.894,-0.000000826785666
0.895,-0.000000823740136
0.896,-0.000000820626827
0.897,-0.000000817445283
0.898,-0.000000814193964
0.899,-0.000000810871915
0.9,-0.000000807477704
0.901,-0.000000804010774
0.902,-0.000000800469092
0.903,-0.000000796852174
0.904,-0.00000079315871
0.905,-0.000000789387379
0.906,-0.000000785537075
0.907,-0.000000781606746
0.908,-0.00000077759516
0.909,-0.000000773501323
0.91,-0.000000769323837
0.911,-0.000000765061843
0.912,-0.000000760713974
0.913,-0.000000756279281
0.914,-0.000000751756714
0.915,-0.000000747144865
0.916,-0.000000742443138
0.917,-0.000000737649961
0.918,-0.000000732764798
0.919,-0.000000727786102
0.92,-0.00000072271316
0.921,-0.000000717545197
0.922,-0.000000712280848
0.923,-0.000000706919273
0.924,-0.000000701459767
0.925,-0.000000695901218
0.926,-0.000000690242917
0.927,-0.000000684483986
0.928,-0.000000678623291
0.929,-0.000000672660622
0.93,-0.000000666594968
0.931,-0.000000660425757
0.932,-0.000000654152204
0.933,-0.000000647773694
0.934,-0.000000641289562
0.935,-0.000000634699427
0.936,-0.000000628002974
0.937,-0.000000621199501
0.938,-0.000000614288563
0.939,-0.000000607270074
0.94,-0.000000600143501
0.941,-0.000000592908723
0.942,-0.000000585565498
0.943,-0.0000005781138
0.944,-0.000000570553466
0.945,-0.000000562884573
0.946,-0.000000555107064
0.947,-0.000000547221049
0.948,-0.00000053922699
0.949,-0.000000531124616
0.95,-0.000000522914705
0.951,-0.000000514597275
0.952,-0.000000506173061
0.953,-0.000000497642457
0.954,-0.000000489005949
0.955,-0.000000480264427
0.956,-0.000000471418211
0.957,-0.000000462468547
0.958,-0.000000453416069
0.959,-0.000000444261751
0.96,-0.000000435006591
0.961,-0.000000425651933
0.962,-0.000000416198398
0.963,-0.00000040664777
0.964,-0.000000397001184
0.965,-0.000000387260007
0.966,-0.000000377425707
0.967,-0.000000367499965
0.968,-0.000000357484357
0.969,-0.000000347380436
0.97,-0.00000033719008
0.971,-0.000000326915185
0.972,-0.000000316557713
0.973,-0.000000306119567
0.974,-0.00000029560273
0.975,-0.000000285009525
0.976,-0.000000274341957
0.977,-0.000000263602459
0.978,-0.000000252793411
0.979,-0.000000241917006
0.98,-0.000000230975902
0.981,-0.000000219972538
0.982,-0.00000020890945
0.983,-0.000000197789376
0.984,-0.000000186615061
0.985,-0.000000175389044
0.986,-0.000000164114201
0.987,-0.000000152793426
0.988,-0.000000141429664
0.989,-0.000000130025803
0.99,-0.000000118584573
0.991,-0.000000107109244
0.992,-0.0000000956028856
0.993,-0.0000000840684482
0.994,-0.0000000725089109
0.995,-0.0000000609277979
0.996,-0.0000000493278591
0.997,-0.0000000377123008
0.998,-0.0000000260844395
0.999,-0.0000000144474051
1,-2.80449264E-09
1.001,8.84114115E-09
1.002,0.0000000204864996
1.003,0.0000000321280851
1.004,0.0000000437628351
1.005,0.0000000553878063
1.006,0.000000066999247
1.007,0.0000000785943737
1.008,0.0000000901701043
1.009,0.000000101722973
1.01,0.000000113250129
1.011,0.000000124748574
1.012,0.000000136214959
1.013,0.000000147646398
1.014,0.000000159039995
1.015,0.000000170392752
1.016,0.000000181701663
1.017,0.000000192964013
1.018,0.000000204176935
1.019,0.000000215337707
1.02,0.000000226443516
1.021,0.000000237491733
1.022,0.000000248479854
1.023,0.000000259405379
1.024,0.000000270265547
1.025,0.000000281057885
1.026,0.000000291780468
1.027,0.000000302430818
1.028,0.000000313006485
1.029,0.000000323505585
1.03,0.000000333925847
1.031,0.000000344265294
1.032,0.00000035452199
1.033,0.000000364694012
1.034,0.000000374779724
1.035,0.000000384777152
1.036,0.000000394684808
1.037,0.000000404501042
1.038,0.00000041422429
1.039,0.000000423853139
1.04,0.000000433386454
1.041,0.000000442822568
1.042,0.000000452160435
1.043,0.00000046139926
1.044,0.000000470537598
1.045,0.000000479574581
1.046,0.000000488509384
1.047,0.000000497340929
1.048,0.000000506068632
1.049,0.000000514691862
1.05,0.000000523210016
1.051,0.000000531622419
1.052,0.000000539928779
1.053,0.000000548128336
1.054,0.000000556221135
1.055,0.000000564206685
1.056,0.000000572085028
1.057,0.000000579855634
1.058,0.0000005875187
1.059,0.000000595074368
1.06,0.000000602522226
1.061,0.000000609862635
1.062,0.000000617095708
1.063,0.000000624221792
1.064,0.000000631241029
1.065,0.000000638153786
1.066,0.000000644960057
1.067,0.000000651661059
1.068,0.000000658256393
1.069,0.000000664747088
1.07,0.000000671133536
1.071,0.000000677416345
1.072,0.000000683596227
1.073,0.000000689673925
1.074,0.000000695649906
1.075,0.000000701524975
1.076,0.000000707299812
1.077,0.000000712975709
1.078,0.000000718552945
